meeting_date,hawkishness_im,uncertainty_im,dissent_detected,fg_type,fg_direction,inflation_outlook,growth_prospects,labor_market,speech_hawkishness,agg_econ_index,expected_change_bp,entropy,modal_outcome,hawkishness_index_ii,policy_uncertainty,p_hold,dfr_actual_bp,dfr_surprise_mech,dfr_surprise_sal,dfr_surprise_norm,dfr_direction,mro_surprise_mech,post2015,t
2001-01-18,0.28,0.43,False,Delphic,hike,0.4166666666666667,0.27499999999999997,0.20277777777777775,0.09,0.3314,10.6675,1.0789,hold,0.2134,0.6704,0.5423,0.0,-10.6675,0.6119,-1.31,dovish_surprise,-10.6675,0,45
2001-02-01,0.23,0.48,True,Delphic,hike,0.3777777777777777,0.23333333333333328,0.20833333333333334,0.3033,0.3006,7.0575,0.7913,hold,0.1411,0.4917,0.6993,0.0,-7.0575,0.3577,-0.9189,dovish_surprise,-7.0575,0,46
2001-02-15,0.47,0.53,False,Delphic,hold,0.23586956521739133,0.08478260869565218,0.10108695652173912,0.38,0.1636,4.3475,0.7242,hold,0.0869,0.45,0.7225,0.0,-4.3475,0.325,-0.5719,no_surprise,-4.3475,0,47
2001-03-01,0.32,0.53,False,Delphic,hold,0.21000000000000002,0.06888888888888889,0.07999999999999999,0.21,0.1417,5.1725,0.6936,hold,0.1035,0.431,0.7731,0.0,-5.1725,0.2573,-0.6942,dovish_surprise,-5.1725,0,48
2001-03-15,0.03,0.57,False,Delphic,hold,0.24358974358974358,0.14615384615384616,0.10512820512820512,0.3167,0.1867,1.56,0.4204,hold,0.0312,0.2612,0.8844,0.0,-1.56,0.1228,-0.2952,no_surprise,-1.56,0,49
2001-03-29,-0.03,0.57,False,Delphic,hold,0.24625,0.10874999999999999,0.0825,0.24,0.1723,1.1075,0.4598,hold,0.0221,0.2857,0.88,0.0,-1.1075,0.1278,-0.202,no_surprise,-1.1075,0,50
2001-04-11,0.1,0.325,False,Delphic,hold,0.20270270270270271,0.12837837837837837,0.1054054054054054,0.66,0.1609,2.445,0.4608,hold,0.0489,0.2863,0.8613,0.0,-2.445,0.1493,-0.6613,no_surprise,-2.445,0,51
2001-04-26,0.05,0.53,False,Delphic,hold,0.1414285714285714,0.23,0.12571428571428572,-0.07,0.1649,0.5975,0.2682,hold,0.012,0.1666,0.9387,0.0,-0.5975,0.0633,-0.1526,no_surprise,-0.5975,0,52
2001-05-10,0.08,0.52,False,Delphic,hold,0.15,0.004347826086956524,0.07391304347826087,0.0,0.0911,1.4025,0.4026,hold,0.0281,0.2501,0.8973,-25.0,-26.4025,3.8304,-6.1827,dovish_surprise,-26.4025,0,53
2001-05-23,-0.67,0.5,False,Delphic,hold,0.1590909090909091,-0.012499999999999995,0.07840909090909091,0.2767,0.0915,-2.255,0.4341,hold,-0.0451,0.2697,0.8892,0.0,2.255,0.1174,0.3223,no_surprise,2.255,0,54
2001-06-07,-0.67,0.4,False,Delphic,hold,0.15875,0.015000000000000003,0.065,0.0925,0.0969,-5.895,0.7347,hold,-0.1179,0.4565,0.7709,0.0,5.895,0.2602,0.8005,hawkish_surprise,5.895,0,55
2001-06-21,0.17,0.38,False,Delphic,hold,0.14716981132075474,0.010377358490566032,0.06320754716981132,0.3737,0.0893,1.75,0.5268,hold,0.035,0.3273,0.8432,0.0,-1.75,0.1706,-0.2251,no_surprise,-1.75,0,56
2001-07-05,0.15,0.38,False,Delphic,hold,0.13333333333333336,0.0761904761904762,0.11190476190476191,0.16,0.1119,1.985,0.5922,hold,0.0397,0.368,0.8138,0.0,-1.985,0.206,-0.2553,no_surprise,-1.985,0,57
2001-07-19,-0.15,0.4,False,Delphic,hold,0.2,-0.12023809523809526,0.02023809523809524,0.17,0.068,-0.0625,0.6391,hold,-0.0013,0.3971,0.8,0.0,0.0625,0.2231,0.0083,no_surprise,0.0625,0,58
2001-08-02,0.38,0.33,False,Delphic,hold,0.2361111111111111,-0.12222222222222223,0.04722222222222223,0.45,0.0908,-0.0075,0.4629,hold,-0.0001,0.2876,0.8827,0.0,0.0075,0.1248,0.001,no_surprise,0.0075,0,59
2001-08-30,0.42,0.35,False,Delphic,hold,0.17702702702702702,-0.2108108108108108,-0.016216216216216217,0.0,0.022,-0.225,0.5206,hold,-0.0045,0.3235,0.8524,-25.0,-24.775,2.5472,-3.2648,dovish_surprise,-24.775,0,60
2001-09-13,-0.8,0.5,False,Delphic,ambiguous,0.07083333333333333,-0.23958333333333334,-0.027083333333333334,-0.0025,-0.0419,-10.65,0.9909,hold,-0.213,0.6157,0.5862,0.0,10.65,0.5341,1.0932,hawkish_surprise,10.65,0,61
2001-09-17,-0.6,0.3,True,Delphic,cut,0.06739130434782607,-0.16304347826086957,-0.053260869565217396,0.045,-0.0259,-13.0475,1.0265,hold,-0.261,0.6378,0.4861,-50.0,-36.9525,2.5823,-3.4916,dovish_surprise,-36.9525,0,62
2001-09-27,-0.7,0.4,False,Delphic,ambiguous,0.1,-0.17755102040816326,-0.04081632653061224,0.0938,-0.0114,-5.9725,0.5498,hold,-0.1195,0.3416,0.7611,0.0,5.9725,0.273,0.4258,hawkish_surprise,5.9725,0,63
2001-10-11,-0.6,0.4,False,Delphic,cut,-0.018421052631578942,-0.4026315789473684,-0.042105263157894736,0.044,-0.1384,-14.87,1.029,cut_standard,-0.2974,0.6394,0.4236,0.0,14.87,0.859,1.032,hawkish_surprise,14.87,0,64
2001-10-25,0.4,0.8,False,Delphic,hold,-0.02441860465116279,-0.3802325581395348,-0.022093023255813957,0.15,-0.1307,-5.8325,0.5432,hold,-0.1166,0.3375,0.7667,0.0,5.8325,0.2657,0.3774,hawkish_surprise,5.8325,0,65
2001-11-08,-0.2,0.8,False,Delphic,ambiguous,-0.04456521739130435,-0.24456521739130435,-0.017391304347826084,0.215,-0.0991,-10.51,0.6804,hold,-0.2102,0.4228,0.5796,-50.0,-39.49,13.8155,-2.7939,dovish_surprise,-39.49,0,66
2001-12-06,-0.43,0.73,False,Delphic,hold,-0.02717391304347826,-0.28043478260869564,-0.009782608695652173,-0.0575,-0.0997,-9.7125,0.7724,hold,-0.1943,0.4799,0.6528,0.0,9.7125,0.4265,0.5555,hawkish_surprise,9.7125,0,67
2002-01-03,0.0,0.53,False,Delphic,hold,-0.08541666666666665,-0.2916666666666667,-0.04583333333333334,0.0533,-0.1394,-0.5925,0.2903,hold,-0.0119,0.1804,0.9323,0.0,0.5925,0.0701,0.0334,no_surprise,0.5925,0,68
2002-02-07,-0.27,0.57,False,Delphic,hold,-0.14583333333333334,-0.36666666666666664,-0.11249999999999999,0.1,-0.2054,-1.4475,0.2211,hold,-0.029,0.1374,0.9421,0.0,1.4475,0.0596,0.0815,no_surprise,1.4475,0,69
2002-03-07,-0.07,0.5,False,Delphic,ambiguous,-0.0659090909090909,-0.2113636363636364,-0.0659090909090909,0.155,-0.1095,-0.0575,0.2688,hold,-0.0011,0.167,0.94,0.0,0.0575,0.0619,0.0032,no_surprise,0.0575,0,70
2002-04-04,-0.03,0.53,False,Delphic,hold,0.017777777777777774,-0.16444444444444445,-0.1,0.09,-0.0604,-0.035,0.2685,hold,-0.0007,0.1668,0.94,0.0,0.035,0.0619,0.002,no_surprise,0.035,0,71
2002-05-02,0.3,0.5,False,Delphic,ambiguous,0.033720930232558136,-0.20348837209302326,-0.08604651162790698,0.255,-0.0614,8.405,0.8285,hold,0.1681,0.5148,0.6511,0.0,-8.405,0.4291,-0.4715,dovish_surprise,-8.405,0,72
2002-06-06,0.275,0.775,False,Delphic,ambiguous,0.12045454545454545,-0.07272727272727274,-0.04318181818181818,0.036,0.0298,4.535,0.8096,hold,0.0907,0.503,0.7182,0.0,-4.535,0.331,-0.2698,no_surprise,-4.535,0,73
2002-07-04,0.5,0.7,False,Delphic,ambiguous,0.12446808510638298,-0.08085106382978724,-0.01702127659574468,0.2467,0.0346,8.9475,0.7402,hold,0.1789,0.4599,0.6774,0.0,-8.9475,0.3895,-0.5489,dovish_surprise,-8.9475,0,74
2002-08-01,-0.15,0.725,False,Delphic,ambiguous,0.2391304347826087,-0.11956521739130435,-0.07173913043478261,0.01,0.0693,-0.075,0.5267,hold,-0.0015,0.3273,0.85,0.0,0.075,0.1625,0.0057,no_surprise,0.075,0,75
2002-09-12,0.18,0.53,False,Delphic,ambiguous,-0.032978723404255325,-0.23191489361702128,-0.0425531914893617,0.35,-0.0946,3.15,0.6758,hold,0.063,0.4199,0.7634,0.0,-3.15,0.27,-0.2432,no_surprise,-3.15,0,76
2002-10-10,0.5,0.7,False,Delphic,ambiguous,0.07093023255813954,-0.31046511627906975,-0.051162790697674425,0.06,-0.0679,10.365,0.9927,hold,0.2073,0.6168,0.5672,0.0,-10.365,0.567,-0.8736,dovish_surprise,-10.365,0,77
2002-11-07,0.28,0.48,False,Delphic,hold,0.07272727272727272,-0.3159090909090909,-0.02727272727272727,-0.03,-0.0639,-0.0125,0.526,hold,-0.0003,0.3268,0.8503,0.0,0.0125,0.1622,0.0011,no_surprise,0.0125,0,78
2002-12-05,0.25,0.65,True,Delphic,cut,0.009999999999999995,-0.2588888888888889,-0.060000000000000005,0.1175,-0.0847,-15.0025,0.8557,cut_standard,-0.3,0.5317,0.4499,-50.0,-34.9975,2.9957,-6.5796,dovish_surprise,-34.9975,0,79
2003-01-09,-0.9,0.8,False,Odyssean,hold,-0.030851063829787233,-0.36489361702127665,-0.13829787234042554,-0.23,-0.1526,-4.8625,0.5174,hold,-0.0973,0.3215,0.8469,0.0,4.8625,0.1662,0.5014,no_surprise,4.8625,0,80
2003-02-06,-0.85,0.9,False,Delphic,hold,0.022093023255813974,-0.30465116279069765,-0.11627906976744186,0.16,-0.1036,-8.8725,0.7517,hold,-0.1774,0.4671,0.7294,0.0,8.8725,0.3155,0.8877,hawkish_surprise,8.8725,0,81
2003-03-06,0.23,0.68,True,Delphic,hold,0.05714285714285714,-0.24285714285714285,-0.06122448979591836,0.255,-0.0565,-3.135,0.5757,hold,-0.0627,0.3577,0.8088,-25.0,-21.865,1.8433,-2.0615,dovish_surprise,-21.865,0,82
2003-04-03,-0.67,0.77,True,Delphic,ambiguous,0.014285714285714285,-0.2224489795918367,-0.0857142857142857,-0.0167,-0.0767,-9.4525,0.8676,hold,-0.1891,0.5391,0.6706,0.0,9.4525,0.3996,0.8234,hawkish_surprise,9.4525,0,83
2003-05-08,-0.025,0.85,False,Delphic,ambiguous,-0.028888888888888884,-0.3755555555555556,-0.10777777777777779,0.08,-0.1487,-4.9,0.7776,hold,-0.098,0.4832,0.7404,0.0,4.9,0.3006,0.4016,no_surprise,4.9,0,84
2003-06-05,0.125,0.45,True,Delphic,ambiguous,0.014583333333333337,-0.21354166666666666,-0.0625,-0.082,-0.0693,-5.04,0.6885,hold,-0.1008,0.4278,0.7741,-50.0,-44.96,3.677,-3.5937,dovish_surprise,-44.96,0,85
2003-07-10,-0.9,0.6,False,Delphic,cut,-0.15932203389830507,-0.3372881355932203,-0.0940677966101695,-0.1833,-0.1997,-24.255,0.9102,cut_standard,-0.4851,0.5655,0.1982,0.0,24.255,1.6185,1.4479,hawkish_surprise,24.255,0,86
2003-07-31,-0.9,0.45,False,Delphic,cut,-0.09913793103448276,-0.2974137931034483,-0.10948275862068967,0.19,-0.1607,-15.1675,0.9331,hold,-0.3034,0.5798,0.4844,0.0,15.1675,0.7248,0.7998,hawkish_surprise,15.1675,0,87
2003-09-04,-0.8,0.4,False,Delphic,ambiguous,-0.05340909090909091,-0.20227272727272724,-0.14090909090909093,0.0,-0.1156,-14.215,0.9107,hold,-0.2843,0.5658,0.5114,0.0,14.215,0.6706,0.7194,hawkish_surprise,14.215,0,88
2003-10-02,0.35,0.45,False,Delphic,hold,-0.09107142857142857,-0.17589285714285716,-0.08750000000000001,0.295,-0.1158,-0.86,0.5133,hold,-0.0172,0.3189,0.8538,0.0,0.86,0.1581,0.0422,no_surprise,0.86,0,89
2003-11-06,-0.17,0.57,False,Delphic,hold,0.03936170212765957,-0.14375000000000002,-0.07659574468085106,0.0717,-0.0388,-0.6125,0.2687,hold,-0.0123,0.167,0.9385,0.0,0.6125,0.0635,0.0302,no_surprise,0.6125,0,90
2003-12-04,0.15,0.3,False,Delphic,hike,0.004464285714285714,-0.15178571428571427,-0.07857142857142856,0.2414,-0.059,1.7975,0.3883,hold,0.036,0.2413,0.8929,0.0,-1.7975,0.1133,-0.0887,no_surprise,-1.7975,0,91
2004-01-08,0.25,0.5,False,Delphic,ambiguous,0.08727272727272727,0.004545454545454542,-0.07818181818181817,0.0,0.0294,4.2425,0.6936,hold,0.0848,0.431,0.7398,0.0,-4.2425,0.3014,-0.2409,no_surprise,-4.2425,0,92
2004-02-05,0.08,0.33,False,Delphic,ambiguous,0.06176470588235295,0.05686274509803922,-0.03725490196078431,0.0967,0.0405,0.3725,0.4231,hold,0.0075,0.2629,0.8895,0.0,-0.3725,0.1171,-0.0211,no_surprise,-0.3725,0,93
2004-03-04,-0.1,0.4,True,Delphic,hold,-0.014473684210526317,0.006578947368421058,-0.07631578947368421,0.13,-0.0205,-1.3575,0.5199,hold,-0.0271,0.323,0.8487,0.0,1.3575,0.164,0.0778,no_surprise,1.3575,0,94
2004-04-01,-0.1,0.3875,False,Delphic,ambiguous,0.0011904761904761915,0.10476190476190476,-0.06428571428571428,0.085,0.0192,-2.19,0.6868,hold,-0.0438,0.4267,0.7986,0.0,2.19,0.2249,0.1352,no_surprise,2.19,0,95
2004-05-06,0.2,0.4,False,Delphic,ambiguous,-0.041111111111111105,0.10777777777777776,-0.08888888888888888,0.1614,-0.006,1.6925,0.3835,hold,0.0338,0.2383,0.8955,0.0,-1.6925,0.1104,-0.1056,no_surprise,-1.6925,0,96
2004-06-03,0.15,0.55,False,Delphic,ambiguous,0.02272727272727273,0.015909090909090914,-0.05909090909090909,0.175,0.0043,5.2875,0.5159,hold,0.1057,0.3205,0.7885,0.0,-5.2875,0.2376,-0.3305,dovish_surprise,-5.2875,0,97
2004-07-01,0.35,0.67,False,Delphic,ambiguous,0.09999999999999999,0.058695652173913045,-0.07391304347826087,0.1733,0.0528,7.485,0.819,hold,0.1497,0.5089,0.6903,0.0,-7.485,0.3706,-0.8597,dovish_surprise,-7.485,0,98
2004-08-05,0.75,0.4,False,Delphic,hike,0.19772727272727272,0.2818181818181818,0.011363636363636366,0.3,0.1857,17.1025,1.0162,hike_standard,0.342,0.6314,0.3539,0.0,-17.1025,1.0387,-2.5665,dovish_surprise,-17.1025,0,99
2004-09-02,0.333,0.433,False,Delphic,ambiguous,0.10777777777777779,0.13333333333333333,-0.060000000000000005,0.0,0.0819,3.8775,0.7357,hold,0.0775,0.4571,0.7521,0.0,-3.8775,0.2849,-0.5571,no_surprise,-3.8775,0,100
2004-10-07,0.65,0.48,False,Delphic,hike,0.14509803921568626,0.14705882352941177,-0.049019607843137254,0.0817,0.1069,8.5875,0.8032,hold,0.1718,0.4991,0.6644,0.0,-8.5875,0.4089,-1.6884,dovish_surprise,-8.5875,0,101
2004-11-04,0.4,0.55,False,Delphic,ambiguous,0.18085106382978725,0.1978723404255319,-0.0702127659574468,0.245,0.1357,4.585,0.6776,hold,0.0917,0.421,0.7626,0.0,-4.585,0.271,-0.8907,no_surprise,-4.585,0,102
2004-12-02,0.4,0.6625,False,Delphic,ambiguous,0.2278846153846154,0.10673076923076923,-0.06442307692307692,0.1239,0.1331,7.7675,1.2273,hold,0.1553,0.7626,0.5378,0.0,-7.7675,0.6203,-1.5632,dovish_surprise,-7.7675,0,103
2005-01-13,0.45,0.65,False,Delphic,ambiguous,0.169,-0.0050000000000000044,-0.054000000000000006,0.0,0.0722,5.5,0.6223,hold,0.11,0.3867,0.7745,0.0,-5.5,0.2555,-1.1015,dovish_surprise,-5.5,0,104
2005-02-03,0.55,0.4,False,Delphic,hike,0.17717391304347826,0.005434782608695649,-0.0391304347826087,0.05,0.0824,7.6,0.8174,hold,0.152,0.5079,0.6526,0.0,-7.6,0.4268,-1.5219,dovish_surprise,-7.6,0,105
