meeting_date,mro_rate,dfr_rate,mlf_rate,mro_change_bp,dfr_change_bp,mlf_change_bp,mro_decision,dfr_decision,mlf_decision,bulletin,bulletin_pub_date,account_previous,account_pub_date
2001-07-19,4.5,3.5,5.5,0,0,0,hold,hold,hold,,,,
2001-08-02,4.5,3.5,5.5,0,0,0,hold,hold,hold,,,,
2001-08-30,4.25,3.25,5.25,-25,-25,-25,cut,cut,cut,,,,
2001-09-13,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2001-09-17,3.75,2.75,4.75,-50,-50,-50,cut,cut,cut,,,,
2001-09-27,3.75,2.75,4.75,0,0,0,hold,hold,hold,,,,
2001-10-11,3.75,2.75,4.75,0,0,0,hold,hold,hold,,,,
2001-10-25,3.75,2.75,4.75,0,0,0,hold,hold,hold,,,,
2001-11-08,3.25,2.25,4.25,-50,-50,-50,cut,cut,cut,,,,
2001-12-06,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-01-03,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-02-07,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-03-07,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-04-04,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-05-02,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-06-06,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-07-04,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-08-01,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-09-12,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-10-10,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-11-07,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2002-12-05,2.75,1.75,3.75,-50,-50,-50,cut,cut,cut,,,,
2003-01-09,2.75,1.75,3.75,0,0,0,hold,hold,hold,,,,
2003-02-06,2.75,1.75,3.75,0,0,0,hold,hold,hold,,,,
2003-03-06,2.5,1.5,3.5,-25,-25,-25,cut,cut,cut,,,,
2003-04-03,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
2003-05-08,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
2003-06-05,2.0,1.0,3.0,-50,-50,-50,cut,cut,cut,,,,
2003-07-10,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2003-07-31,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2003-09-04,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2003-10-02,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2003-11-06,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2003-12-04,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-01-08,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-02-05,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-03-04,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-04-01,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-05-06,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-06-03,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-07-01,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-08-05,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-09-02,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-10-07,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-11-04,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2004-12-02,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-01-13,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-02-03,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-03-03,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-04-07,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-05-04,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-06-02,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-07-07,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-08-04,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-09-01,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-10-06,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-11-03,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2005-12-01,2.25,1.25,3.25,25,25,25,hike,hike,hike,,,,
2006-01-12,2.25,1.25,3.25,0,0,0,hold,hold,hold,,,,
2006-02-02,2.25,1.25,3.25,0,0,0,hold,hold,hold,,,,
2006-03-02,2.5,1.5,3.5,25,25,25,hike,hike,hike,,,,
2006-04-06,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
2006-05-04,2.5,1.5,3.5,0,0,0,hold,hold,hold,,,,
2006-06-08,2.75,1.75,3.75,25,25,25,hike,hike,hike,,,,
2006-07-06,2.75,1.75,3.75,0,0,0,hold,hold,hold,,,,
2006-08-03,3.0,2.0,4.0,25,25,25,hike,hike,hike,,,,
2006-08-31,3.0,2.0,4.0,0,0,0,hold,hold,hold,,,,
2006-10-05,3.25,2.25,4.25,25,25,25,hike,hike,hike,,,,
2006-11-02,3.25,2.25,4.25,0,0,0,hold,hold,hold,,,,
2006-12-07,3.5,2.5,4.5,25,25,25,hike,hike,hike,,,,
2007-01-11,3.5,2.5,4.5,0,0,0,hold,hold,hold,,,,
2007-02-08,3.5,2.5,4.5,0,0,0,hold,hold,hold,,,,
2007-03-08,3.75,2.75,4.75,25,25,25,hike,hike,hike,,,,
2007-04-12,3.75,2.75,4.75,0,0,0,hold,hold,hold,,,,
2007-05-10,3.75,2.75,4.75,0,0,0,hold,hold,hold,,,,
2007-06-06,4.0,3.0,5.0,25,25,25,hike,hike,hike,,,,
2007-07-05,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2007-08-02,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2007-09-06,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2007-10-04,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2007-11-08,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2007-12-06,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2008-01-10,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2008-02-07,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2008-03-06,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2008-04-10,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2008-05-08,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2008-06-05,4.0,3.0,5.0,0,0,0,hold,hold,hold,,,,
2008-07-03,4.25,3.25,5.25,25,25,25,hike,hike,hike,,,,
2008-08-07,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2008-09-04,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2008-10-02,4.25,3.25,5.25,0,0,0,hold,hold,hold,,,,
2008-10-08,3.75,2.75,4.75,-50,-50,-50,cut,cut,cut,,,,
2008-11-06,3.25,2.25,4.25,-50,-50,-50,cut,cut,cut,,,,
2008-12-04,2.5,1.5,3.5,-75,-75,-75,cut,cut,cut,,,,
2009-01-15,2.0,1.0,3.0,-50,-50,-50,cut,cut,cut,,,,
2009-02-05,2.0,1.0,3.0,0,0,0,hold,hold,hold,,,,
2009-03-05,1.5,0.5,2.5,-50,-50,-50,cut,cut,cut,,,,
2009-04-02,1.25,0.25,2.25,-25,-25,-25,cut,cut,cut,,,,
2009-05-07,1.0,0.25,1.75,-25,0,-50,cut,hold,cut,,,,
2009-06-04,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2009-07-02,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2009-08-06,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2009-09-03,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2009-10-08,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2009-11-05,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2009-12-03,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-01-14,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-02-04,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-03-04,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-04-08,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-05-06,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-06-10,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-07-08,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-08-05,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-09-02,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-10-07,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-11-04,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2010-12-02,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2011-01-13,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2011-02-03,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2011-03-03,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2011-04-07,1.25,0.5,2.0,25,25,25,hike,hike,hike,,,,
2011-05-05,1.25,0.5,2.0,0,0,0,hold,hold,hold,,,,
2011-06-09,1.25,0.5,2.0,0,0,0,hold,hold,hold,,,,
2011-07-07,1.5,0.75,2.25,25,25,25,hike,hike,hike,,,,
2011-08-04,1.5,0.75,2.25,0,0,0,hold,hold,hold,,,,
2011-09-08,1.5,0.75,2.25,0,0,0,hold,hold,hold,,,,
2011-10-06,1.5,0.75,2.25,0,0,0,hold,hold,hold,,,,
2011-11-03,1.25,0.5,2.0,-25,-25,-25,cut,cut,cut,,,,
2011-12-08,1.0,0.25,1.75,-25,-25,-25,cut,cut,cut,,,,
2012-01-12,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2012-02-09,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2012-03-08,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2012-04-04,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2012-05-03,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2012-06-06,1.0,0.25,1.75,0,0,0,hold,hold,hold,,,,
2012-07-05,0.75,0.0,1.5,-25,-25,-25,cut,cut,cut,,,,
2012-08-02,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2012-09-06,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2012-10-04,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2012-11-08,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2012-12-06,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2013-01-10,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2013-02-07,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2013-03-07,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2013-04-04,0.75,0.0,1.5,0,0,0,hold,hold,hold,,,,
2013-05-02,0.5,0.0,1.0,-25,0,-50,cut,hold,cut,,,,
2013-06-06,0.5,0.0,1.0,0,0,0,hold,hold,hold,,,,
2013-07-04,0.5,0.0,1.0,0,0,0,hold,hold,hold,,,,
2013-08-01,0.5,0.0,1.0,0,0,0,hold,hold,hold,,,,
2013-09-05,0.5,0.0,1.0,0,0,0,hold,hold,hold,,,,
2013-10-02,0.5,0.0,1.0,0,0,0,hold,hold,hold,,,,
2013-11-07,0.25,0.0,0.75,-25,0,-25,cut,hold,cut,,,,
2013-12-05,0.25,0.0,0.75,0,0,0,hold,hold,hold,,,,
2014-01-09,0.25,0.0,0.75,0,0,0,hold,hold,hold,,,,
2014-02-06,0.25,0.0,0.75,0,0,0,hold,hold,hold,,,,
2014-03-06,0.25,0.0,0.75,0,0,0,hold,hold,hold,,,,
2014-04-03,0.25,0.0,0.75,0,0,0,hold,hold,hold,,,,
2014-05-08,0.25,0.0,0.75,0,0,0,hold,hold,hold,,,,
2014-06-05,0.15,-0.1,0.4,-10,-10,-35,cut,cut,cut,,,,
2014-07-03,0.15,-0.1,0.4,0,0,0,hold,hold,hold,,,,
2014-08-07,0.15,-0.1,0.4,0,0,0,hold,hold,hold,,,,
2014-09-04,0.05,-0.2,0.3,-10,-10,-10,cut,cut,cut,,,,
2014-10-02,0.05,-0.2,0.3,0,0,0,hold,hold,hold,,,,
2014-11-06,0.05,-0.2,0.3,0,0,0,hold,hold,hold,,,,
2014-12-04,0.05,-0.2,0.3,0,0,0,hold,hold,hold,,,,
2015-01-22,0.05,-0.2,0.3,0,0,0,hold,hold,hold,,,,
2015-03-05,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201501.en.pdf,2015-02-05,,
2015-04-15,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201502.en.pdf,2015-03-19,2-04-15.pdf,2015-04-02
2015-06-03,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201503.en.pdf,2015-04-29,21-05-15.pdf,2015-05-21
2015-07-16,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201504.en.pdf,2015-06-17,2-07-15.pdf,2015-07-02
2015-09-03,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201505.en.pdf,2015-07-30,13-08-15.pdf,2015-08-13
2015-10-22,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201506.en.pdf,2015-09-17,08-10-15.pdf,2015-10-08
2015-12-03,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201507.en.pdf,2015-11-05,19-11-15.pdf,2015-11-19
2016-01-21,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201508.en.pdf,2015-12-17,19-11-15.pdf,2015-11-19
2016-03-10,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201601.en.pdf,2016-02-04,18-02-16.pdf,2016-02-18
2016-04-21,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201602.en.pdf,2016-03-24,7-04-16.pdf,2016-04-07
2016-06-02,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201603.en.pdf,2016-05-05,19-05-16.pdf,2016-05-19
2016-07-21,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201604.en.pdf,2016-06-16,7-07-16.pdf,2016-07-07
2016-09-08,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201605.en.pdf,2016-08-04,7-07-16.pdf,2016-07-07
2016-10-20,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201606.en.pdf,2016-09-22,06-10-16.pdf,2016-10-06
2016-12-08,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201607.en.pdf,2016-11-03,17-11-16.pdf,2016-11-17
2017-01-19,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201608.en.pdf,2016-12-22,17-11-16.pdf,2016-11-17
2017-03-09,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201701.en.pdf,2017-02-02,16-02-17.pdf,2017-02-16
2017-04-27,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201702.en.pdf,2017-03-23,6-04-17.pdf,2017-04-06
2017-06-08,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201703.en.pdf,2017-05-11,18-05-17.pdf,2017-05-18
2017-07-20,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201704.en.pdf,2017-06-22,6-07-17.pdf,2017-07-06
2017-09-07,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201705.en.pdf,2017-08-03,17-08-17.pdf,2017-08-17
2017-10-26,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201706.en.pdf,2017-09-21,05-10-17.pdf,2017-10-05
2017-12-14,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201707.en.pdf,2017-11-09,23-10-17.pdf,2017-10-23
2018-01-25,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201708.en.pdf,2017-12-28,11-01-18.pdf,2018-01-11
2018-03-08,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201801.en.pdf,2018-02-08,23-02-18.pdf,2018-02-23
2018-04-26,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201802.en.pdf,2018-03-22,12-04-18.pdf,2018-04-12
2018-06-14,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201803.en.pdf,2018-05-10,12-04-18.pdf,2018-04-12
2018-07-26,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201804.en.pdf,2018-06-28,12-07-18.pdf,2018-07-12
2018-09-13,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201805.en.pdf,2018-08-09,12-07-18.pdf,2018-07-12
2018-10-25,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201806.en.pdf,2018-09-27,11-10-18.pdf,2018-10-11
2018-12-13,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201807.en.pdf,2018-11-08,22-11-18.pdf,2018-11-22
2019-01-24,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201808.en.pdf,2018-12-27,10-01-19.pdf,2019-01-10
2019-03-07,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201901~a3afea780e.en.pdf,2019-02-07,10-01-19.pdf,2019-01-10
2019-04-10,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201902~a070c3a338.en.pdf,2019-03-21,10-01-19.pdf,2019-01-10
2019-06-06,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201903.en.pdf,2019-04-24,4-04-19.pdf,2019-04-04
2019-07-25,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201904.en.pdf,2019-06-20,11-07-19.pdf,2019-07-11
2019-09-12,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201905.en.pdf,2019-08-08,22-08-19.pdf,2019-08-22
2019-10-24,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201906.en.pdf,2019-09-26,22-08-19.pdf,2019-08-22
2019-12-12,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201907.en.pdf,2019-11-07,21-11-19.pdf,2019-11-21
2020-01-23,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb201908.en.pdf,2019-12-26,21-11-19.pdf,2019-11-21
2020-03-12,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202001.en.pdf,2020-02-06,20-02-20.pdf,2020-02-20
2020-04-30,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202002.en.pdf,2020-03-26,9-04-20.pdf,2020-04-09
2020-06-04,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202003.en.pdf,2020-05-14,22-05-2020.pdf,2020-05-22
2020-07-16,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202004.en.pdf,2020-06-18,25-06-2020.pdf,2020-06-25
2020-09-10,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202005.en.pdf,2020-07-30,20-08-20.pdf,2020-08-20
2020-10-29,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202006.en.pdf,2020-09-24,8-10-20.pdf,2020-10-08
2020-12-10,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202007.en.pdf,2020-11-12,26-11-20.pdf,2020-11-26
2021-01-21,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202008.en.pdf,2020-12-24,26-11-20.pdf,2020-11-26
2021-03-11,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202101.en.pdf,2021-02-04,18-02-21.pdf,2021-02-18
2021-04-22,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202102.en.pdf,2021-03-25,8-04-21.pdf,2021-04-08
2021-06-10,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202103.en.pdf,2021-05-06,8-04-21.pdf,2021-04-08
2021-07-22,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202104.en.pdf,2021-06-24,9-07-21.pdf,2021-07-09
2021-09-09,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202105.en.pdf,2021-08-05,29-07-21.pdf,2021-07-29
2021-10-28,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202106.en.pdf,2021-09-23,7-10-21.pdf,2021-10-07
2021-12-16,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202107.en.pdf,2021-11-11,25-11-21.pdf,2021-11-25
2022-02-03,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202108.en.pdf,2021-12-30,25-11-21.pdf,2021-11-25
2022-03-10,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202201.en.pdf,2022-02-17,25-11-21.pdf,2021-11-25
2022-04-14,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202202.en.pdf,2022-03-24,25-11-21.pdf,2021-11-25
2022-06-09,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202203.en.pdf,2022-04-28,19-05-22.pdf,2022-05-19
2022-07-21,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202204.en.pdf,2022-06-23,7-07-22.pdf,2022-07-07
2022-09-08,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202205.en.pdf,2022-08-04,25-08-22.pdf,2022-08-25
2022-10-27,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202206.en.pdf,2022-09-22,6-10-22.pdf,2022-10-06
2022-12-15,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202207.en.pdf,2022-11-10,24-11-22.pdf,2022-11-24
2023-02-02,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202208.en.pdf,2022-12-29,24-11-22.pdf,2022-11-24
2023-03-16,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202301.en.pdf,2023-02-16,24-11-22.pdf,2022-11-24
2023-05-04,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202302.en.pdf,2023-03-30,20-04-23.pdf,2023-04-20
2023-06-15,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202303.en.pdf,2023-05-18,1-06-23.pdf,2023-06-01
2023-07-27,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202304.en.pdf,2023-06-29,13-07-23.pdf,2023-07-13
2023-09-14,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202305.en.pdf,2023-08-10,31-08-23.pdf,2023-08-31
2023-10-26,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202306.en.pdf,2023-09-28,12-10-23.pdf,2023-10-12
2023-12-14,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202307.en.pdf,2023-11-09,23-11-23.pdf,2023-11-23
2024-01-25,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202308.en.pdf,2023-12-28,23-11-23.pdf,2023-11-23
2024-03-07,0.05,-0.2,0.3,0,0,0,hold,hold,hold,eb202401.en.pdf,2024-02-08,22-01-24.pdf,2024-01-22
